name,rating,lat,lng,vicinity,price_level,types,user_ratings_total
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, store, restaurant, point_of_interest, food, establishment",683
Timberwood Tap House,4.2,38.010356,-78.4997365,"245 Merchant Walk Avenue Unit 100, Charlottesville",2,"restaurant, point_of_interest, food, establishment",1359
Subway,3.8,38.012863,-78.50342119999999,"1141 5th Street Ext, Unit 1141, Charlottesville",1,"meal_takeaway, restaurant, point_of_interest, food, establishment",86
Domino's Pizza,3.7,38.0127715,-78.50352699999999,"1147 5th Street Southwest, Charlottesville",1,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",261
Blue Moon Diner,4.5,38.0308887,-78.4883571,"606 West Main Street, Charlottesville",1,"bar, meal_takeaway, restaurant, point_of_interest, food, establishment",474
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1036
Jade Garden,3.6,38.01297359999999,-78.503222,"1139 5th Street Southwest, Charlottesville",1,"restaurant, point_of_interest, food, establishment",133
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, store, restaurant, point_of_interest, food, establishment",41
The Market at Mill Creek,4.7,38.000067,-78.497748,"1345 Parham Circle, Charlottesville",1,"convenience_store, gas_station, store, restaurant, point_of_interest, food, establishment",411
Taco Bell,3.4,38.0114933,-78.50268539999999,"1158 5th Street Southwest, Charlottesville",1,"meal_takeaway, restaurant, point_of_interest, food, establishment",812
Burger King,3,38.0112129,-78.50493999999999,"1181 5th Street Southwest, Charlottesville",1,"restaurant, point_of_interest, food, establishment",635
Jefferson Ale House,4.2,38.03198769999999,-78.4927361,"852 West Main Street #110, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",273
Kanak Indian Kitchen,4.6,38.0117177,-78.4988716,"385 Merchant Walk Square Suite 400, Charlottesville",2,"restaurant, meal_delivery, meal_takeaway, point_of_interest, food, establishment",555
Glass Half Full Taproom,4.5,38.0120269,-78.4995089,"375 Merchant Walk Square, Charlottesville",N/A,"bar, restaurant, point_of_interest, food, establishment",41
Harold’s Chicken,3.5,38.0117222,-78.4992517,"385 Merchant Walk Square, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",8
BurgerFi,3.3,38.0116705,-78.4991905,"385 Merchant Walk Square, Charlottesville",2,"meal_takeaway, restaurant, point_of_interest, food, establishment",182
